id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_label,fiscal_year,month,is_ttm
1120,PNB,Mar 2022,169.0,9632,52961.0,2888.0,65649.0,150.0,4,3472,62024,65649.0,Mar 2022,2022.0,Mar,False
1121,PNB,Mar 2023,169.0,10784,53621.0,2231.0,66805.0,146.0,3,3188,63468,66805.0,Mar 2023,2023.0,Mar,False
1122,PNB,Mar 2024,260.0,14673,55017.0,2422.0,72371.0,206.0,15,4345,67804,72371.0,Mar 2024,2024.0,Mar,False
1123,PNB,Mar 2013,50.0,568,6695.0,342.0,7655.0,14.0,4,777,6860,7655.0,Mar 2013,2013.0,Mar,False
1124,PNB,Mar 2014,66.0,868,10108.0,498.0,11540.0,26.0,3,645,10865,11540.0,Mar 2014,2014.0,Mar,False
1125,PNB,Mar 2015,104.0,1475,16481.0,976.0,19035.0,40.0,18,1586,17392,19035.0,Mar 2015,2015.0,Mar,False
1126,PNB,Mar 2016,127.0,2019,26014.0,1511.0,29671.0,58.0,4,1622,27987,29671.0,Mar 2016,2016.0,Mar,False
1127,PNB,Mar 2017,166.0,5412,35497.0,1885.0,42960.0,58.0,2,3280,39620,42960.0,Mar 2017,2017.0,Mar,False
1128,PNB,Mar 2018,167.0,6402,53777.0,2673.0,63018.0,255.0,10,2413,60340,63018.0,Mar 2018,2018.0,Mar,False
1129,PNB,Mar 2019,167.0,7268,71859.0,4456.0,83750.0,102.0,5,4457,79185,83750.0,Mar 2019,2019.0,Mar,False
1130,PNB,Mar 2020,168.0,7779,67736.0,3191.0,78874.0,250.0,4,2048,76572,78874.0,Mar 2020,2020.0,Mar,False
1131,PNB,Mar 2021,168.0,8699,59394.0,3072.0,71333.0,181.0,2,2033,69117,71333.0,Mar 2021,2021.0,Mar,False
1132,PNB,Mar 2022,169.0,9632,52961.0,2888.0,65649.0,150.0,4,3472,62024,65649.0,Mar 2022,2022.0,Mar,False
1133,PNB,Mar 2023,169.0,10784,53621.0,2231.0,66805.0,146.0,3,3188,63468,66805.0,Mar 2023,2023.0,Mar,False
1134,PNB,Mar 2024,260.0,14673,55017.0,2422.0,72371.0,206.0,15,4345,67804,72371.0,Mar 2024,2024.0,Mar,False
1135,POWERGRID,Mar 2013,4630.0,21773,69233.0,17748.0,113384.0,62568.0,35265,586,14964,113384.0,Mar 2013,2013.0,Mar,False
1136,POWERGRID,Mar 2014,5232.0,29466,84220.0,22562.0,141480.0,74252.0,50069,423,16736,141480.0,Mar 2014,2014.0,Mar,False
1137,POWERGRID,Mar 2015,5232.0,33207,96243.0,26102.0,160784.0,91191.0,53681,220,15693,160784.0,Mar 2015,2015.0,Mar,False
1138,POWERGRID,Mar 2016,5232.0,38738,108545.0,26797.0,179312.0,115094.0,45611,919,17688,179312.0,Mar 2016,2016.0,Mar,False
1139,POWERGRID,Mar 2017,5232.0,44634,118988.0,26809.0,195662.0,137678.0,38264,1165,18555,195662.0,Mar 2017,2017.0,Mar,False
1140,POWERGRID,Mar 2018,5232.0,49194,131503.0,39425.0,225354.0,156198.0,37669,1224,30264,225354.0,Mar 2018,2018.0,Mar,False
1141,POWERGRID,Mar 2019,5232.0,53857,146376.0,41916.0,247380.0,172740.0,37631,1296,35713,247380.0,Mar 2019,2019.0,Mar,False
1142,POWERGRID,Mar 2020,5232.0,59464,148270.0,43706.0,256671.0,181112.0,35177,1431,38951,256671.0,Mar 2020,2020.0,Mar,False
1143,POWERGRID,Mar 2021,5232.0,64704,143232.0,42539.0,255708.0,183726.0,24838,1486,45659,255708.0,Mar 2021,2021.0,Mar,False
1144,POWERGRID,Mar 2022,6975.0,69272,134696.0,40008.0,250950.0,191773.0,12854,3788,42536,250950.0,Mar 2022,2022.0,Mar,False
1145,POWERGRID,Mar 2023,6975.0,76051,128584.0,40615.0,252225.0,185437.0,13772,3489,49527,252225.0,Mar 2023,2023.0,Mar,False
1146,POWERGRID,Mar 2024,9301.0,77845,123516.0,40168.0,250829.0,177761.0,18197,4163,50708,250829.0,Mar 2024,2024.0,Mar,False
